City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Black River,JM,77.0,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
403,Alta Floresta,BR,71.15,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
405,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
411,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
414,Paita,PE,71.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
416,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
423,Faanui,PF,81.3,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
437,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
438,Puerto Rondon,CO,77.88,scattered clouds,6.2805,-71.1,Urbanización Santa Clara
440,Kalmunai,LK,81.54,broken clouds,7.4167,81.8167,VS Villa
442,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
443,Port-Gentil,GA,79.65,scattered clouds,-0.7193,8.7815,Fengshui Residence
448,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
449,Punto Fijo,VE,77.58,clear sky,11.6956,-70.1996,Santa Fe Inn Hotel
451,Liwale,TZ,71.06,overcast clouds,-9.7667,37.9333,Samoma lodge
452,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
454,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
455,Ixtapa,MX,70.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
459,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
464,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
466,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
468,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
470,Prainha,BR,72.43,overcast clouds,-1.8,-53.48,Casa Rocha
473,Esperance,AU,76.84,few clouds,-33.8667,121.9,Hospitality Esperance
477,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
479,Namatanai,PG,85.01,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
493,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
495,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
497,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
502,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
507,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
509,Harper,LR,78.06,light rain,4.375,-7.7169,Screensaver
511,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
512,Port Hedland,AU,82.45,moderate rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
513,Celestun,MX,70.12,clear sky,20.8667,-90.4,Posada Lilia
514,Souillac,MU,81.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
519,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
522,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
523,Codrington,AU,79.65,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
525,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
527,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
530,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
532,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
533,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
534,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
535,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
543,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
544,Salinopolis,BR,77.36,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
545,Kandrian,PG,88.48,light rain,-6.2167,149.55,Kandrian Station
547,New Norfolk,AU,80.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
548,Sao Filipe,CV,71.58,clear sky,14.8961,-24.4956,Hotel Xaguate
549,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
550,Bubaque,GW,76.17,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
